t,MV,PV,DV
1.538000000000000000e+03,1.411852858385821108e+01,4.188000000000000256e+01,6.000000000000000000e+01
1.539000000000000000e+03,1.433941498322705854e+01,4.193999999999999773e+01,6.000000000000000000e+01
1.540000000000000000e+03,1.412124699175503117e+01,4.190999999999999659e+01,6.000000000000000000e+01
1.541000000000000000e+03,1.423210381540411440e+01,4.188000000000000256e+01,6.000000000000000000e+01
1.542000000000000000e+03,1.434354988229680927e+01,4.185000000000000142e+01,6.000000000000000000e+01
1.543000000000000000e+03,1.445559468677359760e+01,4.185000000000000142e+01,6.000000000000000000e+01
1.544000000000000000e+03,1.445818168712148655e+01,4.188000000000000256e+01,6.000000000000000000e+01
1.545000000000000000e+03,1.435072860605310296e+01,4.188000000000000256e+01,6.000000000000000000e+01
1.546000000000000000e+03,1.435276296633760040e+01,4.190999999999999659e+01,6.000000000000000000e+01
1.547000000000000000e+03,1.424475078039255216e+01,4.185000000000000142e+01,6.000000000000000000e+01
1.548000000000000000e+03,1.446633891688208351e+01,4.188000000000000256e+01,6.000000000000000000e+01
1.549000000000000000e+03,1.435893187820215466e+01,4.188000000000000256e+01,6.000000000000000000e+01
1.550000000000000000e+03,1.436101844417419571e+01,4.185000000000000142e+01,6.000000000000000000e+01
1.551000000000000000e+03,1.447317124613184269e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.552000000000000000e+03,1.388889470979161089e+01,4.190999999999999659e+01,6.000000000000000000e+01
1.553000000000000000e+03,1.425535189648600642e+01,4.193999999999999773e+01,6.000000000000000000e+01
1.554000000000000000e+03,1.414683418683924820e+01,4.188000000000000256e+01,6.000000000000000000e+01
1.555000000000000000e+03,1.436792705971021711e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.556000000000000000e+03,1.403991143108740758e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.557000000000000000e+03,1.378353911373510243e+01,4.190999999999999659e+01,6.000000000000000000e+01
1.558000000000000000e+03,1.425952124628128459e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.559000000000000000e+03,1.378420855154561764e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.560000000000000000e+03,1.389336710349684623e+01,4.193999999999999773e+01,6.000000000000000000e+01
1.561000000000000000e+03,1.414984852277623517e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.562000000000000000e+03,1.378405059738283356e+01,4.214000000000000057e+01,6.000000000000000000e+01
1.563000000000000000e+03,1.341633168746040994e+01,4.214000000000000057e+01,6.000000000000000000e+01
1.564000000000000000e+03,1.341352868470567472e+01,4.214000000000000057e+01,6.000000000000000000e+01
1.565000000000000000e+03,1.341072732726062000e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.566000000000000000e+03,1.329788168371920598e+01,4.207000000000000028e+01,6.000000000000000000e+01
1.567000000000000000e+03,1.366137743241266200e+01,4.210000000000000142e+01,6.000000000000000000e+01
1.568000000000000000e+03,1.354991140553560136e+01,4.214000000000000057e+01,6.000000000000000000e+01
1.569000000000000000e+03,1.340120032692289165e+01,4.210000000000000142e+01,6.000000000000000000e+01
1.570000000000000000e+03,1.354520575954953543e+01,4.190999999999999659e+01,6.000000000000000000e+01
1.571000000000000000e+03,1.424027767936833477e+01,4.207000000000000028e+01,6.000000000000000000e+01
1.572000000000000000e+03,1.365506081019064588e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.573000000000000000e+03,1.387385170011260094e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.574000000000000000e+03,1.402043091582722134e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.575000000000000000e+03,1.387432061268036776e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.576000000000000000e+03,1.402093397198748548e+01,4.185000000000000142e+01,6.000000000000000000e+01
1.577000000000000000e+03,1.446181506776777503e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.578000000000000000e+03,1.402458904152053876e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.579000000000000000e+03,1.387854242448958253e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.580000000000000000e+03,1.402520232124104815e+01,4.188000000000000256e+01,6.000000000000000000e+01
1.581000000000000000e+03,1.435607328537870941e+01,4.190999999999999659e+01,6.000000000000000000e+01
1.582000000000000000e+03,1.424848068721836292e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.583000000000000000e+03,1.388352836490658859e+01,4.190999999999999659e+01,6.000000000000000000e+01
1.584000000000000000e+03,1.425035343659601672e+01,4.193999999999999773e+01,6.000000000000000000e+01
1.585000000000000000e+03,1.414220854450262088e+01,4.190999999999999659e+01,6.000000000000000000e+01
1.586000000000000000e+03,1.425361631846787347e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.587000000000000000e+03,1.388870293812893841e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.588000000000000000e+03,1.403546016039051203e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.589000000000000000e+03,1.403625226599212361e+01,4.188000000000000256e+01,6.000000000000000000e+01
1.590000000000000000e+03,1.436722921931923658e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.591000000000000000e+03,1.378282651837754003e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.592000000000000000e+03,1.378230715416059837e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.593000000000000000e+03,1.389183831632323418e+01,4.207000000000000028e+01,6.000000000000000000e+01
1.594000000000000000e+03,1.367179319550579741e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.595000000000000000e+03,1.389082368855618554e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.596000000000000000e+03,1.389091016882600194e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.597000000000000000e+03,1.389101385090125795e+01,4.193999999999999773e+01,6.000000000000000000e+01
1.598000000000000000e+03,1.414792680844628414e+01,4.190999999999999659e+01,6.000000000000000000e+01
1.599000000000000000e+03,1.425946706204641501e+01,4.193999999999999773e+01,6.000000000000000000e+01
1.600000000000000000e+03,1.415149469906628354e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.601000000000000000e+03,1.378615548613079511e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.602000000000000000e+03,1.378573793836325123e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.603000000000000000e+03,1.378532037601971005e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.604000000000000000e+03,1.378491336481410556e+01,4.210000000000000142e+01,6.000000000000000000e+01
1.605000000000000000e+03,1.356440388279200171e+01,4.210000000000000142e+01,6.000000000000000000e+01
1.606000000000000000e+03,1.356285340025787001e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.607000000000000000e+03,1.378141996639701183e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.608000000000000000e+03,1.330413693404594255e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.609000000000000000e+03,1.330125909551024499e+01,4.210000000000000142e+01,6.000000000000000000e+01
1.610000000000000000e+03,1.355517625906706236e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.611000000000000000e+03,1.329686526557960669e+01,4.207000000000000028e+01,6.000000000000000000e+01
1.612000000000000000e+03,1.366086684910560223e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.613000000000000000e+03,1.377001347828688083e+01,4.214000000000000057e+01,6.000000000000000000e+01
1.614000000000000000e+03,1.340285163439507166e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.615000000000000000e+03,1.402427075128647438e+01,4.207000000000000028e+01,6.000000000000000000e+01
1.616000000000000000e+03,1.365848020470225066e+01,4.193999999999999773e+01,6.000000000000000000e+01
1.617000000000000000e+03,1.413454340238946472e+01,4.214000000000000057e+01,6.000000000000000000e+01
1.618000000000000000e+03,1.340250757611911325e+01,4.207000000000000028e+01,6.000000000000000000e+01
1.619000000000000000e+03,1.365712240776527509e+01,4.188000000000000256e+01,6.000000000000000000e+01
1.620000000000000000e+03,1.435331044290890112e+01,4.207000000000000028e+01,6.000000000000000000e+01
1.621000000000000000e+03,1.365915433821293412e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.622000000000000000e+03,1.376842173234534528e+01,4.207000000000000028e+01,6.000000000000000000e+01
1.623000000000000000e+03,1.365814802999274491e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.624000000000000000e+03,1.387747452834812734e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.625000000000000000e+03,1.376780256083491238e+01,4.210000000000000142e+01,6.000000000000000000e+01
1.626000000000000000e+03,1.354750793805232512e+01,4.214000000000000057e+01,6.000000000000000000e+01
1.627000000000000000e+03,1.339942633564867869e+01,4.214000000000000057e+01,6.000000000000000000e+01
1.628000000000000000e+03,1.339731367956945718e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.629000000000000000e+03,1.387211782888359934e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.630000000000000000e+03,1.376248655919487440e+01,4.190999999999999659e+01,6.000000000000000000e+01
1.631000000000000000e+03,1.423926431692835770e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.632000000000000000e+03,1.376474843151722816e+01,4.193999999999999773e+01,6.000000000000000000e+01
1.633000000000000000e+03,1.413149922453930429e+01,4.185000000000000142e+01,6.000000000000000000e+01
1.634000000000000000e+03,1.446350089323091836e+01,4.188000000000000256e+01,6.000000000000000000e+01
1.635000000000000000e+03,1.435704325370865142e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.636000000000000000e+03,1.388316729774227909e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.637000000000000000e+03,1.388368593707760290e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.638000000000000000e+03,1.403094203855370559e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.639000000000000000e+03,1.388549969331307921e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.640000000000000000e+03,1.388603646829293581e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.641000000000000000e+03,1.403332014535864936e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.642000000000000000e+03,1.403464725823549308e+01,4.193999999999999773e+01,6.000000000000000000e+01
1.643000000000000000e+03,1.414604419133933888e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.644000000000000000e+03,1.403791942132392911e+01,4.193999999999999773e+01,6.000000000000000000e+01
1.645000000000000000e+03,1.414933760590848166e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.646000000000000000e+03,1.404123083636208946e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.647000000000000000e+03,1.389586847381503354e+01,4.193999999999999773e+01,6.000000000000000000e+01
1.648000000000000000e+03,1.415327600836104693e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.649000000000000000e+03,1.404519173956494527e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.650000000000000000e+03,1.378979952713521406e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.651000000000000000e+03,1.389990938651304653e+01,4.207000000000000028e+01,6.000000000000000000e+01
1.652000000000000000e+03,1.368043335411001493e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.653000000000000000e+03,1.404677274708732426e+01,4.207000000000000028e+01,6.000000000000000000e+01
1.654000000000000000e+03,1.368134530396067206e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.655000000000000000e+03,1.390096434188683183e+01,4.193999999999999773e+01,6.000000000000000000e+01
1.656000000000000000e+03,1.415843136893123955e+01,4.188000000000000256e+01,6.000000000000000000e+01
1.657000000000000000e+03,1.438058640342961425e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.658000000000000000e+03,1.405363944038413848e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.659000000000000000e+03,1.405513018085695620e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.660000000000000000e+03,1.390987790171421423e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.661000000000000000e+03,1.405734177736605162e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.662000000000000000e+03,1.380204569477664833e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.663000000000000000e+03,1.380220222137701036e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.664000000000000000e+03,1.380235970795210321e+01,4.207000000000000028e+01,6.000000000000000000e+01
1.665000000000000000e+03,1.369246905581801954e+01,4.214000000000000057e+01,6.000000000000000000e+01
1.666000000000000000e+03,1.343526250967263103e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.667000000000000000e+03,1.391041248082671089e+01,4.210000000000000142e+01,6.000000000000000000e+01
1.668000000000000000e+03,1.358100533275890953e+01,4.214000000000000057e+01,6.000000000000000000e+01
1.669000000000000000e+03,1.343330100332613597e+01,4.207000000000000028e+01,6.000000000000000000e+01
1.670000000000000000e+03,1.368835948674474423e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.671000000000000000e+03,1.405483690936362429e+01,4.214000000000000057e+01,6.000000000000000000e+01
1.672000000000000000e+03,1.343276222471486747e+01,4.203999999999999915e+01,6.000000000000000000e+01
